Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,day_of_differentiation
SRR11863096,RNA-Seq,75,35926650,PRJNA635600,SAMN15045489,14248866,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8415422,GSM4574290,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:37:00Z,1,GSM4574290,Single mESC cell,SRP265084,day 12
SRR11863097,RNA-Seq,75,441118050,PRJNA635600,SAMN15045488,149307107,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8415423,GSM4574291,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:39:00Z,1,GSM4574291,Single mESC cell,SRP265084,day 12
SRR11863098,RNA-Seq,75,65569950,PRJNA635600,SAMN15045487,26235995,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8415424,GSM4574292,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:37:00Z,1,GSM4574292,Single mESC cell,SRP265084,day 12
SRR11863099,RNA-Seq,75,40773600,PRJNA635600,SAMN15045486,16388035,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8416017,GSM4574293,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:37:00Z,1,GSM4574293,Single mESC cell,SRP265084,day 12
SRR11863100,RNA-Seq,75,170759700,PRJNA635600,SAMN15045485,59126052,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8416018,GSM4574294,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574294,Single mESC cell,SRP265084,day 12
SRR11863101,RNA-Seq,75,151803825,PRJNA635600,SAMN15045484,58917812,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8416019,GSM4574295,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574295,Single mESC cell,SRP265084,day 12
SRR11863102,RNA-Seq,75,239104875,PRJNA635600,SAMN15045483,83115425,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8416020,GSM4574296,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574296,Single mESC cell,SRP265084,day 12
SRR11863103,RNA-Seq,75,76845525,PRJNA635600,SAMN15045482,29174360,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8416021,GSM4574297,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:37:00Z,1,GSM4574297,Single mESC cell,SRP265084,day 12
SRR11863104,RNA-Seq,75,363411450,PRJNA635600,SAMN15045481,131788033,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8416022,GSM4574298,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:39:00Z,1,GSM4574298,Single mESC cell,SRP265084,day 12
SRR11863105,RNA-Seq,75,57066450,PRJNA635600,SAMN15045480,22354033,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8416023,GSM4574299,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574299,Single mESC cell,SRP265084,day 12
SRR11863106,RNA-Seq,75,175600575,PRJNA635600,SAMN15045479,64726853,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8416024,GSM4574300,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574300,Single mESC cell,SRP265084,day 12
SRR11863107,RNA-Seq,75,24265575,PRJNA635600,SAMN15045478,9669489,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8416025,GSM4574301,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574301,Single mESC cell,SRP265084,day 12
SRR11863108,RNA-Seq,75,26180925,PRJNA635600,SAMN15045477,9886151,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8416026,GSM4574302,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574302,Single mESC cell,SRP265084,day 12
SRR11863109,RNA-Seq,75,51941100,PRJNA635600,SAMN15045476,20438481,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8416027,GSM4574303,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574303,Single mESC cell,SRP265084,day 12
SRR11863110,RNA-Seq,75,122080650,PRJNA635600,SAMN15045475,46218074,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8416028,GSM4574304,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574304,Single mESC cell,SRP265084,day 12
SRR11863111,RNA-Seq,75,92886975,PRJNA635600,SAMN15045515,33513076,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8416029,GSM4574305,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574305,Single mESC cell,SRP265084,day 12
SRR11863112,RNA-Seq,75,65701500,PRJNA635600,SAMN15045514,23288668,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8416030,GSM4574306,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574306,Single mESC cell,SRP265084,day 12
SRR11863113,RNA-Seq,75,66792975,PRJNA635600,SAMN15045513,25919072,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8416031,GSM4574307,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574307,Single mESC cell,SRP265084,day 12
SRR11863114,RNA-Seq,75,52947525,PRJNA635600,SAMN15045512,21034609,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8416032,GSM4574308,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574308,Single mESC cell,SRP265084,day 12
SRR11863115,RNA-Seq,75,422474475,PRJNA635600,SAMN15045511,138702352,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413482,GSM4574309,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:39:00Z,1,GSM4574309,Single mESC cell,SRP265084,day 12
SRR11863116,RNA-Seq,75,60326700,PRJNA635600,SAMN15045510,23972471,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413483,GSM4574310,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574310,Single mESC cell,SRP265084,day 12
SRR11863117,RNA-Seq,75,234585900,PRJNA635600,SAMN15045509,80215273,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413484,GSM4574311,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:39:00Z,1,GSM4574311,Single mESC cell,SRP265084,day 12
SRR11863118,RNA-Seq,75,184022475,PRJNA635600,SAMN15045508,64726172,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413485,GSM4574312,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:39:00Z,1,GSM4574312,Single mESC cell,SRP265084,day 12
SRR11863119,RNA-Seq,75,279507975,PRJNA635600,SAMN15045507,93788648,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413486,GSM4574313,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:39:00Z,1,GSM4574313,Single mESC cell,SRP265084,day 12
SRR11863120,RNA-Seq,75,38340225,PRJNA635600,SAMN15045506,13212875,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413487,GSM4574314,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574314,Single mESC cell,SRP265084,day 12
SRR11863121,RNA-Seq,75,423496875,PRJNA635600,SAMN15046444,136097081,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413488,GSM4574315,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:39:00Z,1,GSM4574315,Single mESC cell,SRP265084,day 12
SRR11863122,RNA-Seq,75,626088900,PRJNA635600,SAMN15046443,191255848,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413489,GSM4574316,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:40:00Z,1,GSM4574316,Single mESC cell,SRP265084,day 12
SRR11863123,RNA-Seq,75,39754950,PRJNA635600,SAMN15046442,15792738,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413490,GSM4574317,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574317,Single mESC cell,SRP265084,day 12
SRR11863124,RNA-Seq,75,49485150,PRJNA635600,SAMN15046500,19620383,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413491,GSM4574318,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574318,Single mESC cell,SRP265084,day 12
SRR11863125,RNA-Seq,75,204105675,PRJNA635600,SAMN15046499,71314504,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413492,GSM4574319,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:39:00Z,1,GSM4574319,Single mESC cell,SRP265084,day 12
SRR11863126,RNA-Seq,75,466944300,PRJNA635600,SAMN15046498,153372260,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413493,GSM4574320,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:40:00Z,1,GSM4574320,Single mESC cell,SRP265084,day 12
SRR11863127,RNA-Seq,75,559678275,PRJNA635600,SAMN15046497,187671298,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413494,GSM4574321,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:40:00Z,1,GSM4574321,Single mESC cell,SRP265084,day 12
SRR11863128,RNA-Seq,75,261586350,PRJNA635600,SAMN15046496,93286413,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413495,GSM4574322,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:39:00Z,1,GSM4574322,Single mESC cell,SRP265084,day 12
SRR11863129,RNA-Seq,75,45082500,PRJNA635600,SAMN15046495,16918237,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413496,GSM4574323,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574323,Single mESC cell,SRP265084,day 12
SRR11863130,RNA-Seq,75,264517050,PRJNA635600,SAMN15046494,90103844,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413497,GSM4574324,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:39:00Z,1,GSM4574324,Single mESC cell,SRP265084,day 12
SRR11863131,RNA-Seq,75,22465500,PRJNA635600,SAMN15046493,8877385,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413905,GSM4574325,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574325,Single mESC cell,SRP265084,day 12
SRR11863132,RNA-Seq,75,20083500,PRJNA635600,SAMN15046492,7396436,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413906,GSM4574326,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574326,Single mESC cell,SRP265084,day 12
SRR11863133,RNA-Seq,75,222242700,PRJNA635600,SAMN15046491,76070904,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413907,GSM4574327,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:39:00Z,1,GSM4574327,Single mESC cell,SRP265084,day 12
SRR11863134,RNA-Seq,75,37566300,PRJNA635600,SAMN15046490,14820387,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413908,GSM4574328,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574328,Single mESC cell,SRP265084,day 12
SRR11863135,RNA-Seq,75,45163875,PRJNA635600,SAMN15046489,16713812,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413909,GSM4574329,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574329,Single mESC cell,SRP265084,day 12
SRR11863136,RNA-Seq,75,192529125,PRJNA635600,SAMN15046488,66775046,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413910,GSM4574330,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:39:00Z,1,GSM4574330,Single mESC cell,SRP265084,day 12
SRR11863137,RNA-Seq,75,70109100,PRJNA635600,SAMN15046487,27560781,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413911,GSM4574331,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574331,Single mESC cell,SRP265084,day 12
SRR11863138,RNA-Seq,75,59594025,PRJNA635600,SAMN15046486,22518846,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413912,GSM4574332,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574332,Single mESC cell,SRP265084,day 12
SRR11863139,RNA-Seq,75,47307150,PRJNA635600,SAMN15046529,18768391,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413913,GSM4574333,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574333,Single mESC cell,SRP265084,day 12
SRR11863140,RNA-Seq,75,100608300,PRJNA635600,SAMN15046528,39684452,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413914,GSM4574334,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574334,Single mESC cell,SRP265084,day 12
SRR11863141,RNA-Seq,75,202082025,PRJNA635600,SAMN15046527,68188159,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413915,GSM4574335,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:39:00Z,1,GSM4574335,Single mESC cell,SRP265084,day 12
SRR11863142,RNA-Seq,75,98761725,PRJNA635600,SAMN15046526,34589796,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413916,GSM4574336,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574336,Single mESC cell,SRP265084,day 12
SRR11863143,RNA-Seq,75,218776425,PRJNA635600,SAMN15046525,80171485,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413917,GSM4574337,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:39:00Z,1,GSM4574337,Single mESC cell,SRP265084,day 12
SRR11863144,RNA-Seq,75,110909400,PRJNA635600,SAMN15046524,40286013,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8413918,GSM4574338,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574338,Single mESC cell,SRP265084,day 12
